,b_1,b_2,b_3,l_1,l_10,l_11,l_12,l_13,l_14,l_15,l_16,l_17,l_18,l_19,l_2,l_20,l_21,l_3,l_4,l_5,l_6,l_7,l_8,l_9
0,0.0,0.0,0.00099945068359375,0.002001047134399414,0.0,0.0019998550415039062,0.0,0.0,0.0010111331939697266,0.0,0.007990121841430664,0.0010018348693847656,0.0,0.003998756408691406,0.0010013580322265625,0.0,0.0,0.0009975433349609375,0.0019998550415039062,0.0009996891021728516,0.00099945068359375,0.002004384994506836,0.0,0.003996610641479492
1,0.0,0.0,0.0010044574737548828,0.003002166748046875,0.0,0.002001523971557617,0.0009989738464355469,0.0,0.0,0.0,0.008002281188964844,0.0,0.0,0.002999544143676758,0.00099945068359375,0.0009987354278564453,0.0,0.0019989013671875,0.0030012130737304688,0.0,0.0010001659393310547,0.0019989013671875,0.0,0.0019953250885009766
2,0.0,0.0,0.0,0.0010046958923339844,0.0,0.002000093460083008,0.0,0.0,0.0,0.0,0.007001161575317383,0.0,0.0,0.004002094268798828,0.0,0.0,0.0,0.0019981861114501953,0.001999378204345703,0.0,0.0009970664978027344,0.003004312515258789,0.0,0.0029969215393066406
3,0.0,0.0,0.0,0.0020029544830322266,0.0,0.0020003318786621094,0.0,0.0,0.0,0.0,0.007000923156738281,0.0,0.0,0.0030002593994140625,0.0,0.0,0.0,0.0019981861114501953,0.0029985904693603516,0.0,0.0010004043579101562,0.0020003318786621094,0.0,0.003000497817993164
4,0.0,0.0,0.0,0.002000570297241211,0.0,0.0019989013671875,0.0,0.0009992122650146484,0.0,0.0,0.007006645202636719,0.0,0.0,0.003004312515258789,0.0009992122650146484,0.0,0.0,0.0020003318786621094,0.001999378204345703,0.0009989738464355469,0.00099945068359375,0.0010008811950683594,0.00099945068359375,0.0020012855529785156
5,0.0,0.0,0.0,0.0009999275207519531,0.0,0.0009992122650146484,0.0,0.0,0.0,0.0,0.0070035457611083984,0.0,0.0,0.003995656967163086,0.0010037422180175781,0.0,0.0,0.0019953250885009766,0.002003192901611328,0.0,0.0010018348693847656,0.0019989013671875,0.0,0.0019989013671875
6,0.0,0.0,0.0,0.0019996166229248047,0.0,0.0020008087158203125,0.0,0.0,0.0,0.0,0.008010625839233398,0.0,0.0,0.002992391586303711,0.0,0.0,0.0,0.0019998550415039062,0.0020003318786621094,0.0,0.00099945068359375,0.0019981861114501953,0.0,0.00299835205078125
7,0.0,0.0,0.0,0.002001047134399414,0.0,0.0020003318786621094,0.0,0.0,0.0,0.0,0.0070040225982666016,0.0,0.0,0.003999948501586914,0.0010013580322265625,0.0,0.0,0.0019991397857666016,0.0029993057250976562,0.0,0.0009996891021728516,0.0020008087158203125,0.0,0.0019996166229248047
8,0.0,0.0,0.0,0.001999378204345703,0.0,0.0010018348693847656,0.0,0.0,0.0,0.0,0.007016181945800781,0.0,0.0,0.003001689910888672,0.0010027885437011719,0.0,0.0,0.001996755599975586,0.0020122528076171875,0.0,0.0009887218475341797,0.002000093460083008,0.0,0.001998424530029297
9,0.0,0.0,0.0,0.0009999275207519531,0.0,0.0010001659393310547,0.0,0.000997781753540039,0.0,0.0,0.008000612258911133,0.0,0.0,0.0030069351196289062,0.0,0.0,0.0,0.001998424530029297,0.0020017623901367188,0.0,0.001001119613647461,0.0019986629486083984,0.0,0.002000570297241211
10,0.0,0.0,0.0,0.0020020008087158203,0.0,0.0020003318786621094,0.0,0.0,0.0,0.0,0.007001638412475586,0.0,0.0,0.003998517990112305,0.001001596450805664,0.0,0.0,0.001997232437133789,0.0029976367950439453,0.0,0.001001119613647461,0.0020122528076171875,0.0,0.0029871463775634766
11,0.0,0.0,0.0,0.002001047134399414,0.0,0.001990079879760742,0.0,0.0,0.0,0.0,0.005971193313598633,0.0,0.0,0.004000663757324219,0.0,0.0,0.0,0.0019989013671875,0.002002239227294922,0.0,0.0009980201721191406,0.0010008811950683594,0.0,0.003042459487915039
12,0.0,0.0,0.0,0.002991199493408203,0.0,0.0020020008087158203,0.0,0.0,0.0,0.0010447502136230469,0.008951425552368164,0.0,0.0,0.004002809524536133,0.0,0.0,0.0,0.002027750015258789,0.0019681453704833984,0.0,0.0009992122650146484,0.0020003318786621094,0.0,0.002000093460083008
13,0.0,0.0,0.0,0.0020341873168945312,0.0,0.0010020732879638672,0.0,0.0,0.0,0.0,0.007003307342529297,0.0,0.0,0.003995656967163086,0.0009655952453613281,0.0,0.0,0.0019996166229248047,0.0020003318786621094,0.0,0.0010008811950683594,0.0019989013671875,0.0,0.0020003318786621094
14,0.0,0.0,0.0,0.002982616424560547,0.0,0.0010046958923339844,0.0,0.0009970664978027344,0.0,0.0,0.006017208099365234,0.0,0.0,0.0039827823638916016,0.0010008811950683594,0.0,0.0,0.0019981861114501953,0.0030019283294677734,0.0,0.0009999275207519531,0.001998424530029297,0.0010037422180175781,0.0019960403442382812
15,0.0,0.0,0.0,0.0020122528076171875,0.0,0.0019996166229248047,0.0,0.0,0.0,0.0,0.007999897003173828,0.0,0.0,0.0030014514923095703,0.0,0.0,0.0,0.0019876956939697266,0.002001523971557617,0.0,0.0009996891021728516,0.0010013580322265625,0.0009982585906982422,0.001997232437133789
16,0.000997781753540039,0.0,0.0,0.002001523971557617,0.0,0.001001596450805664,0.0,0.0009984970092773438,0.0,0.0,0.006002902984619141,0.0,0.0,0.00400090217590332,0.0,0.0,0.0,0.0020034313201904297,0.001997709274291992,0.0,0.0009992122650146484,0.0009996891021728516,0.0,0.0019996166229248047
17,0.0,0.0,0.0010013580322265625,0.0010013580322265625,0.0,0.0019998550415039062,0.0,0.0,0.0,0.0,0.007010221481323242,0.0,0.0,0.0029916763305664062,0.0009996891021728516,0.0,0.0,0.0019996166229248047,0.003000020980834961,0.0,0.0009996891021728516,0.0019998550415039062,0.0,0.0029985904693603516
18,0.0,0.0,0.0,0.001001596450805664,0.0,0.001001596450805664,0.0,0.0009980201721191406,0.0,0.0,0.007004976272583008,0.0,0.0,0.003010988235473633,0.0009999275207519531,0.0,0.0,0.0019981861114501953,0.002000093460083008,0.0,0.00099945068359375,0.0010008811950683594,0.0,0.0019996166229248047
19,0.0,0.0,0.0,0.002000570297241211,0.0,0.0009996891021728516,0.0,0.0009992122650146484,0.0,0.0,0.007016897201538086,0.0,0.0,0.0029878616333007812,0.0,0.0,0.0,0.0019991397857666016,0.0020020008087158203,0.0,0.0010013580322265625,0.0019974708557128906,0.0,0.0020003318786621094
20,0.0,0.0009992122650146484,0.0,0.0020008087158203125,0.0010352134704589844,0.0019643306732177734,0.0,0.0,0.0,0.0,0.007011890411376953,0.0,0.0,0.004765748977661133,0.0009984970092773438,0.0,0.0,0.0020017623901367188,0.0029985904693603516,0.0,0.0009996891021728516,0.0010006427764892578,0.0,0.0020034313201904297
21,0.0,0.0,0.0,0.0,0.0,0.0023682117462158203,0.0,0.0,0.0,0.0,0.007920265197753906,0.0,0.0,0.0012731552124023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013397455215454102,0.001998424530029297
22,0.0,0.0,0.0,0.003000020980834961,0.0,0.0,0.0,0.0,0.0,0.0,0.019296884536743164,0.0,0.0,0.001262664794921875,0.0005977153778076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01562952995300293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01563286781311035,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015633344650268555
25,0.0,0.0,0.0,0.0,0.0,0.015624761581420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.01566028594970703,0.0,0.0012705326080322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011669158935546875
27,0.0,0.0,0.0,0.015631437301635742,0.0,0.0,0.0,0.0,0.0,0.0,0.01565861701965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566147804260254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01559305191040039,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015590190887451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015629053115844727,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01561594009399414,0.0,0.0,0.0,0.0,0.0,0.0,0.015666723251342773,0.0,0.0,0.0
31,0.0010442733764648438,0.0,0.0,0.0,0.0,0.0013041496276855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008666276931762695,0.001168966293334961,0.0,0.0,0.0,0.0,0.007751941680908203
32,0.0,0.0,0.0,0.015665054321289062,0.0,0.0,0.0,0.0,0.015591144561767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.015621662139892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015596389770507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015629291534423828,0.0,0.0,0.0,0.015621185302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015626907348632812,0.0,0.0,0.0,0.0,0.0,0.0,0.015620231628417969,0.0
